Title,Date
"Better Call Saul: Temporada 6: Nippy","12/1/22"
"Better Call Saul: Temporada 6: Diversión y juegos","12/1/22"
"Better Call Saul: Temporada 1: Mijo","11/23/22"
"Better Call Saul: Temporada 2: Fifi","11/21/22"
"Better Call Saul: Temporada 2: Inflable","11/20/22"
"Better Call Saul: Temporada 2: Esa famosa canción","11/20/22"
"Breaking Bad: Temporada 5: Ozymandias","11/16/22"
"Breaking Bad: Temporada 4: Revólver calibre 38","11/14/22"
"Better Call Saul: Temporada 6: Apunta y dispara","11/14/22"
"Better Call Saul: Temporada 6: Plan y ejecución","11/13/22"
"Better Call Saul: Temporada 6: A la fuga","11/13/22"
"Better Call Saul: Temporada 6: Entre la espada y la pared","11/13/22"
"Better Call Saul: Temporada 6: Amoratado","11/13/22"
"Better Call Saul: Temporada 6: Intereses personales","11/13/22"
"Better Call Saul: Temporada 6: Recompensa y castigo","11/12/22"
"Better Call Saul: Temporada 6: Vino y rosas","11/12/22"
"Better Call Saul: Temporada 5: Algo imperdonable","11/11/22"
"Better Call Saul: Temporada 5: El camino de las malas elecciones","11/11/22"
"Better Call Saul: Temporada 5: Cobrador","11/11/22"
"Better Call Saul: Temporada 5: JMM","11/11/22"
"Better Call Saul: Temporada 5: Wexler vs. Goodman","11/11/22"
"Better Call Saul: Temporada 5: Dedicado a Max","11/11/22"
"Better Call Saul: Temporada 5: Namasté","11/10/22"
"La casa de papel: Parte 4: Plan París","11/10/22"
"Better Call Saul: Temporada 5: El indicado","11/10/22"
"Better Call Saul: Temporada 5: 50 % de descuento","11/10/22"
"Better Call Saul: Temporada 4: Hasta la vista","11/9/22"
"Better Call Saul: Temporada 4: Coushatta","11/9/22"
"Better Call Saul: Temporada 4: Respira","10/27/22"
"Better Call Saul: Temporada 4: Humo","10/26/22"
"Better Call Saul: Temporada 3: Gastos","10/24/22"
"Better Call Saul: Temporada 3: Sabrosito","10/24/22"
"Better Call Saul: Temporada 3: Costo irrecuperable","10/23/22"
"Better Call Saul: Temporada 3: Testigo","10/23/22"
"Better Call Saul: Temporada 3: Mabel","10/22/22"
"Better Call Saul: Temporada 2: Larga distancia","10/21/22"
"Better Call Saul: Temporada 2: No hay tiempo","10/21/22"
"Better Call Saul: Temporada 2: Rebecca","10/19/22"
"Better Call Saul: Temporada 2: Guantes fuera","10/17/22"
"Better Call Saul: Temporada 2: Amarillo","10/17/22"
"DAHMER: Monstruo: La historia de Jeffrey Dahmer: La caja de un buen muchacho","10/10/22"
"DAHMER: Monstruo: La historia de Jeffrey Dahmer: Hacer un Dahmer","10/8/22"
"DAHMER: Monstruo: La historia de Jeffrey Dahmer: Por favor, no te vayas","10/4/22"
"DAHMER: Monstruo: La historia de Jeffrey Dahmer: Episodio uno","10/3/22"
"Breaking Bad: Temporada 5: Carga de muerte","10/3/22"
"Better Call Saul: Temporada 2: Gran cambio","10/2/22"
"Better Call Saul: Temporada 1: Pastorcito alpino","10/1/22"
"Better Call Saul: Temporada 1: Marco","10/1/22"
"Better Call Saul: Temporada 1: Pimiento","10/1/22"
"Better Call Saul: Temporada 1: Rico","10/1/22"
"Better Call Saul: Temporada 1: Bingo","9/30/22"
"Better Call Saul: Temporada 1: Pasado","9/26/22"
"Better Call Saul: Temporada 1: Héroe","9/15/22"
"Better Call Saul: Temporada 1: Nacho","9/14/22"
"Breaking Bad: Temporada 4: Arrinconados","9/4/22"
"El Camino: Una película de Breaking Bad","9/4/22"
"Breaking Bad: Temporada 4: Copiloto","9/2/22"
"Breaking Bad: Temporada 4: Puntos clave","9/2/22"
"Breaking Bad: Temporada 4: Casa abierta","9/2/22"
"Breaking Bad: Temporada 2: Picadura de una abeja muerta","9/1/22"
"Breaking Bad: Temporada 2: A las brasas","9/1/22"
"Breaking Bad: Temporada 2: Siete con treinta y siete","9/1/22"
"Breaking Bad: Temporada 1: Acuerdo no violento","9/1/22"
"Breaking Bad: Temporada 1: Un loco puñado de nada","9/1/22"
"Breaking Bad: Temporada 1: Materia gris","9/1/22"
"Breaking Bad: Temporada 1: Cáncer","9/1/22"
"Breaking Bad: Temporada 1: Y la bolsa en el río","9/1/22"
"Breaking Bad: Temporada 1: El gato en la bolsa","9/1/22"
"Breaking Bad: Temporada 1: Principio del fin","8/31/22"
"Breaking Bad: Temporada 5: Tohajiilee","8/6/22"
"Breaking Bad: Temporada 5: Perro rabioso","8/6/22"
"Breaking Bad: Temporada 4: Salud","8/2/22"
"Breaking Bad: Temporada 4: Micrófono","8/2/22"
"Breaking Bad: Temporada 4: Perro problemático","8/2/22"
"Breaking Bad: Temporada 3: Abiquiú","7/31/22"
